Ticker,Weight
AAPL,1.9988806667011804e-10
ABBV,1.7909563276468113e-09
ABT,1.3780682340531084e-10
ACN,1.4008633609943697e-10
ADBE,1.0844441896117575e-10
AEP,1.289322557413022e-10
ALB,1.957161637526001e-10
AMGN,1.5529739097127367e-10
AMT,9.410996834862957e-11
AMZN,1.2441810319670535e-10
AVB,9.904254024388085e-11
AXP,1.3457840043476258e-10
BA,6.96044616635463e-11
BAC,8.818253749305658e-11
BLK,1.283621455631345e-10
C,6.459222939274814e-11
CAT,6.229784127211213e-10
CCI,8.605566433059817e-11
CF,8.312115779475925e-10
CHTR,8.15649675451893e-11
CL,2.0824213352086876e-10
CMCSA,1.0193192406843543e-10
COP,3.081408721115033e-10
COST,1.682902022310877e-09
CRM,1.0659853575778324e-10
CSCO,9.826523191508908e-11
CVS,1.3012069444135675e-10
CVX,1.45649712921318e-10
D,7.693790466824803e-11
DD,1.0876903581020996e-10
DIS,6.039989966785887e-11
DLR,1.3227269443089086e-10
DOW,1.1327648428032999e-10
DUK,1.6780695961245954e-10
EIX,1.262796456267648e-10
EOG,3.397864871477049e-10
EQIX,1.372223291082804e-10
ETR,1.0363985066884909e-10
EXC,1.202610917518156e-10
F,1.3666664425929244e-10
FCX,9.635428700644547e-10
FDX,1.8741126157584452e-10
FOX,8.612553600591863e-11
GE,1.8766634950223275e-10
GM,7.948801744739026e-11
GOOGL,1.6425318081860565e-10
GS,1.666279141485548e-10
HAL,1.6612610678222742e-10
HD,1.4882855531878338e-10
HON,1.1500153350448826e-10
IBM,2.226949602165834e-10
INTC,7.104529199714309e-11
IP,9.562717426532967e-11
JNJ,1.600361553243576e-10
JPM,1.259791509194422e-10
KHC,2.039648012412482e-10
KO,1.547512483941759e-10
KR,0.1062678192732845
LIN,2.7029682072044623e-10
LLY,0.46571790057468165
LMT,1.8260081140450303e-10
LOW,1.8487889776740936e-10
MCD,2.7740037238550703e-10
MDLZ,1.8525489514927334e-10
META,1.3130019294422035e-10
MMM,7.765339695318202e-11
MPC,0.03830842432658996
MRK,2.199109737251215e-10
MS,1.713611791678382e-10
MSFT,1.7251843861669862e-10
NEE,1.0736661026263553e-10
NEM,4.151215642240628e-10
NFLX,1.3362174386899302e-10
NKE,9.631501951845474e-11
NUE,0.07925140006040701
NVDA,0.14805342096848656
O,1.0155745657811516e-10
ORCL,2.491686960336946e-10
OXY,2.364379177202487e-10
PEG,1.496915474258797e-10
PEP,1.6168550248805105e-10
PFE,1.0741954722761853e-10
PG,1.8187037164204588e-10
PLD,1.3747246022459532e-10
PSA,4.926426564401165e-10
PSX,1.5441298223601643e-10
RTX,9.534768574849741e-11
SBUX,9.713331158681211e-11
SCHW,1.6498252356990255e-10
SHW,1.7706967990307941e-10
SLB,1.7419017866971878e-10
SO,1.660597796624665e-10
SPG,1.293545911406293e-10
SPGI,1.2920120010847114e-10
T,9.533287446614353e-11
TGT,1.1938080529450109e-10
TMO,1.8892750797740933e-10
TSLA,0.16240101383531488
UNH,2.2283007409355188e-10
UNP,1.6470836945966962e-10
UPS,1.8855750473148473e-10
VLO,1.9475020621052264e-10
VZ,1.0613633500613391e-10
WELL,1.569578691781649e-10
WFC,8.923849197312158e-11
WMT,2.5159365324989205e-10
XEL,1.364001921259388e-10
XOM,3.289476024366173e-10
